# Curated Indian food core table — values per 100 g edible portion.
# Compiled against IFCT 2017 (NIN/ICMR) cooked-dish tables, NIN "Nutritive Value
# of Indian Foods", and USDA FoodData Central analogues for shared ingredients.
# Cooked mixed dishes vary by household; treat these as representative means.
# columns: name|hindi|category|region|diet|kcal|protein|carbs|fat|satfat|fiber|sugar|sodium|class|unit|grams|tags
#
# ---------------------------------------------------------------- BREADS
Rasam|ரசம்|South Indian|south|veg|42|1.4|6.2|1.2|0.3|1.0|1.6|360|soup|bowl|150|light,digestive
Chole|छोले|Punjabi|north|veg|142|6.4|18.5|4.8|1.2|6.2|3.0|400|legume|bowl|180|festival
Chana Masala|चना मसाला|Punjabi|north|veg|138|6.2|18.0|4.6|1.1|6.0|2.8|390|legume|bowl|180|everyday
Rajma|राजमा|Punjabi|north|veg|128|6.6|17.0|3.8|1.0|6.4|1.8|380|legume|bowl|180|comfort
Kadhi|कढ़ी|Gujarati|west|veg|96|3.4|8.6|5.2|2.4|0.8|3.4|340|dairy|bowl|180|everyday
Punjabi Kadhi Pakora|कढ़ी पकौड़ा|Punjabi|north|veg|134|4.6|11.0|8.2|3.0|1.6|2.6|380|dairy|bowl|200|comfort
Gujarati Dal|ગુજરાતી દાળ|Gujarati|west|veg|104|4.6|15.0|2.8|0.9|2.6|4.6|320|legume|bowl|180|sweet-sour
Sprouts Usal|उसळ|Maharashtrian|west|veg|118|7.2|16.0|2.4|0.6|5.4|2.2|300|legume|bowl|150|healthy
Misal|मिसळ|Maharashtrian|west|veg|156|6.8|18.0|6.4|1.8|5.0|2.4|460|legume|plate|250|street,spicy
Dhokli Dal|દાળ ઢોકળી|Gujarati|west|veg|142|5.4|21.0|4.0|1.2|3.0|3.4|330|mixed|bowl|200|onepot
Sambar Vada Combo|சாம்பார் வடை|South Indian|south|veg|196|6.2|22.0|9.4|2.6|3.6|2.2|460|mixed|plate|180|tiffin
# ---------------------------------------------------------------- VEG CURRIES
Aloo Gobi|आलू गोभी|North Indian|north|veg|108|2.8|14.0|5.0|1.2|3.4|2.4|320|vegetable|bowl|150|everyday
Aloo Matar|आलू मटर|North Indian|north|veg|112|3.4|15.0|4.6|1.1|3.6|3.0|330|vegetable|bowl|150|everyday
Aloo Jeera|आलू जीरा|North Indian|north|veg|124|2.4|18.0|5.2|1.2|2.4|1.2|300|vegetable|bowl|150|everyday
Bhindi Masala|भिंडी मसाला|North Indian|north|veg|104|2.2|10.0|6.4|1.4|3.8|2.6|310|vegetable|bowl|150|everyday
Baingan Bharta|बैंगन भर्ता|Punjabi|north|veg|92|2.0|9.4|5.4|1.2|3.4|4.0|330|vegetable|bowl|150|smoky
Palak Paneer|पालक पनीर|Punjabi|north|veg|156|8.4|7.2|10.8|5.8|2.6|2.4|380|dairy|bowl|180|restaurant
Paneer Butter Masala|पनीर बटर मसाला|Punjabi|north|veg|228|8.8|10.5|17.2|9.6|1.8|5.4|430|dairy|bowl|180|restaurant,creamy
Shahi Paneer|शाही पनीर|Punjabi|north|veg|236|8.6|11.0|18.0|9.8|1.6|6.0|420|dairy|bowl|180|restaurant,creamy
Kadai Paneer|कड़ाही पनीर|Punjabi|north|veg|186|9.0|8.8|13.2|7.0|2.4|3.6|400|dairy|bowl|180|restaurant
Matar Paneer|मटर पनीर|Punjabi|north|veg|172|8.6|10.5|10.8|5.8|2.8|3.8|390|dairy|bowl|180|everyday
Malai Kofta|मलाई कोफ्ता|Punjabi|north|veg|244|6.8|15.0|17.8|9.0|2.0|5.6|440|dairy|bowl|180|restaurant,rich
Navratan Korma|नवरतन कोरमा|North Indian|north|veg|198|5.4|16.0|13.0|6.4|2.6|6.8|400|mixed|bowl|180|festival,rich
Veg Kolhapuri|व्हेज कोल्हापुरी|Maharashtrian|west|veg|148|4.0|13.0|9.2|3.2|3.6|3.0|430|vegetable|bowl|180|spicy
Mixed Veg Curry|मिक्स वेज|North Indian|pan|veg|112|3.2|12.5|5.6|1.6|3.4|3.2|340|vegetable|bowl|170|everyday
Dum Aloo|दम आलू|Kashmiri|north|veg|156|2.8|18.0|8.4|3.2|2.6|3.0|360|vegetable|bowl|170|kashmiri
Kashmiri Rogan Josh|रोगन जोश|Kashmiri|north|nonveg|198|16.5|4.2|13.0|5.4|1.0|1.8|420|meat|bowl|180|kashmiri,mutton
Avial|അവിയൽ|South Indian|south|veg|124|2.6|9.6|8.4|6.4|3.2|3.0|300|vegetable|bowl|170|kerala,onam
Thoran|തോരൻ|South Indian|south|veg|96|2.8|8.4|5.8|4.2|3.6|2.2|280|vegetable|bowl|120|kerala,dry
Olan|ഓലൻ|South Indian|south|veg|92|1.8|7.0|6.6|5.2|2.0|2.6|260|vegetable|bowl|150|kerala,onam
Kootu|கூட்டு|South Indian|south|veg|104|4.2|12.0|4.2|2.6|3.4|2.0|300|legume|bowl|160|tamil
Poriyal|பொரியல்|South Indian|south|veg|94|2.6|9.0|5.4|3.6|3.4|2.4|290|vegetable|bowl|120|tamil,dry
Undhiyu|ઊંધિયું|Gujarati|west|veg|168|4.8|16.0|9.8|2.4|5.4|4.2|380|vegetable|bowl|180|winter,festival
Sev Tameta|સેવ ટમેટા|Gujarati|west|veg|168|4.6|16.0|9.6|2.2|2.6|4.6|420|vegetable|bowl|150|gujarati
Gatte Ki Sabzi|गट्टे की सब्जी|Rajasthani|north|veg|186|7.4|18.0|9.6|3.4|3.6|2.4|420|legume|bowl|170|rajasthani
Ker Sangri|केर सांगरी|Rajasthani|north|veg|172|5.0|16.0|10.4|3.0|7.2|3.0|460|vegetable|bowl|120|desert,rajasthani
Shukto|শুক্তো|Bengali|east|veg|98|2.6|9.4|5.6|3.2|3.0|2.4|280|vegetable|bowl|170|bengali,bitter
Aloo Posto|আলু পোস্ত|Bengali|east|veg|156|4.2|17.0|8.0|1.6|3.0|1.8|300|vegetable|bowl|150|bengali
Chhanar Dalna|ছানার ডালনা|Bengali|east|veg|172|8.8|9.0|11.4|5.6|1.6|2.6|360|dairy|bowl|170|bengali
Dalma|ଡାଲମା|Odia|east|veg|104|4.8|13.5|3.4|1.4|3.6|2.2|280|legume|bowl|180|odia,temple
Santula|ସନ୍ତୁଳା|Odia|east|veg|76|2.2|10.0|3.0|0.7|3.0|3.0|240|vegetable|bowl|160|odia,light
Aloo Pitika|আলু পিটিকা|Assamese|east|veg|108|2.2|17.0|3.6|0.6|2.0|1.4|280|vegetable|bowl|120|assamese
Khar|খাৰ|Assamese|east|veg|82|2.6|9.0|4.0|1.0|2.8|1.8|300|vegetable|bowl|150|assamese
Litti Chokha|लिट्टी चोखा|Bihari|east|veg|246|8.2|36.0|8.4|3.0|6.0|2.6|380|mixed|piece|60|bihari,street
Goan Vegetable Caldin|काल्दीन|Goan|west|veg|118|2.6|9.0|8.2|6.0|2.6|2.8|320|vegetable|bowl|170|goan,coconut
# ---------------------------------------------------------------- NON-VEG
Butter Chicken|बटर चिकन|Punjabi|north|nonveg|218|14.6|7.4|15.0|8.2|1.0|4.6|440|meat|bowl|180|restaurant,creamy
Chicken Tikka Masala|चिकन टिक्का मसाला|Punjabi|north|nonveg|196|15.8|6.8|12.4|5.8|1.2|3.6|450|meat|bowl|180|restaurant
Chicken Curry|चिकन करी|North Indian|pan|nonveg|168|16.0|4.6|9.6|3.2|1.0|1.8|400|meat|bowl|180|everyday
Chicken Chettinad|சிக்கன் செட்டிநாடு|South Indian|south|nonveg|186|17.2|5.4|10.8|5.0|1.8|1.6|430|meat|bowl|180|tamil,spicy
Chicken 65|चिकन 65|South Indian|south|nonveg|248|18.6|11.0|14.6|4.0|0.8|1.4|560|meat|plate|150|starter,fried
Tandoori Chicken|तंदूरी चिकन|Punjabi|north|nonveg|168|24.5|2.4|6.8|2.2|0.4|1.6|460|meat|piece|150|grilled,protein
Chicken Tikka|चिकन टिक्का|Punjabi|north|nonveg|182|25.0|3.0|7.8|2.6|0.5|1.8|470|meat|piece|120|grilled,protein
Chicken Korma|चिकन कोरमा|North Indian|north|nonveg|214|15.2|7.0|14.4|6.6|1.2|3.4|420|meat|bowl|180|rich
Chicken Kolhapuri|चिकन कोल्हापुरी|Maharashtrian|west|nonveg|192|16.4|6.0|11.6|4.4|2.0|2.0|450|meat|bowl|180|spicy
Chicken Ghee Roast|ಕೋಳಿ ಘೀ ರೋಸ್ಟ್|South Indian|south|nonveg|252|18.0|6.4|17.2|8.6|1.6|2.4|480|meat|plate|150|mangalore
Mutton Curry|मटन करी|North Indian|pan|nonveg|212|16.8|4.0|14.4|5.8|0.9|1.6|420|meat|bowl|180|everyday
Mutton Rogan Josh|मटन रोगन जोश|Kashmiri|north|nonveg|206|16.6|4.4|13.6|5.6|1.0|1.8|430|meat|bowl|180|kashmiri
Nihari|निहारी|North Indian|north|nonveg|228|17.4|6.0|14.8|6.4|0.8|1.2|520|meat|bowl|200|slow-cooked
Keema Matar|कीमा मटर|Punjabi|north|nonveg|202|16.0|7.6|12.0|4.8|2.4|2.2|420|meat|bowl|170|everyday
Fish Curry|मछली करी|Bengali|east|nonveg|132|14.8|4.4|6.2|2.2|1.0|1.8|380|seafood|bowl|180|coastal
Goan Fish Curry|गोवा फिश करी|Goan|west|nonveg|146|14.2|5.0|7.8|4.6|1.4|2.4|420|seafood|bowl|180|goan,coconut
Meen Moilee|മീൻ മോളി|South Indian|south|nonveg|152|14.0|4.6|8.8|6.0|1.0|2.2|400|seafood|bowl|180|kerala
Macher Jhol|মাছের ঝোল|Bengali|east|nonveg|118|14.0|3.6|5.2|1.6|0.8|1.4|360|seafood|bowl|180|bengali,everyday
Fish Fry|फिश फ्राई|Goan|west|nonveg|224|20.0|8.4|12.6|3.2|0.6|0.8|480|seafood|piece|120|fried,coastal
Prawn Masala|झींगा मसाला|Goan|west|nonveg|148|16.2|5.0|7.0|2.8|1.2|2.0|440|seafood|bowl|170|coastal
Egg Curry|अंडा करी|North Indian|pan|egg|148|9.4|5.6|10.0|3.4|1.2|2.4|380|egg|bowl|180|everyday
Egg Bhurji|अंडा भुर्जी|North Indian|pan|egg|182|12.4|4.0|13.2|4.4|0.9|2.0|400|egg|bowl|120|street,protein
Boiled Egg|उबला अंडा|Eggs|pan|egg|155|12.6|1.1|10.6|3.3|0.0|1.1|124|egg|piece|50|protein,everyday
Omelette|ऑमलेट|Eggs|pan|egg|196|12.8|2.4|15.2|4.6|0.5|1.4|340|egg|piece|110|breakfast
# ---------------------------------------------------------------- SOUTH TIFFIN
Idli|इडली|South Indian|south|veg|132|4.6|26.0|0.8|0.2|1.4|0.4|180|grain|idli|40|breakfast,steamed
Rava Idli|रवा इडली|South Indian|south|veg|156|4.4|27.0|3.6|1.6|1.8|0.8|300|grain|idli|50|breakfast
Plain Dosa|डोसा|South Indian|south|veg|168|4.0|30.0|3.4|1.2|1.6|0.6|220|grain|dosa|80|breakfast
Masala Dosa|मसाला डोसा|South Indian|south|veg|176|3.8|28.0|5.6|2.0|2.4|1.4|340|grain|dosa|180|breakfast,popular
Rava Dosa|रवा डोसा|South Indian|south|veg|202|4.0|30.0|7.2|2.4|1.4|0.8|360|grain|dosa|100|crispy
Set Dosa|सेट डोसा|South Indian|south|veg|158|4.2|29.0|2.8|1.0|1.6|0.8|240|grain|dosa|70|karnataka
Neer Dosa|नीर डोसा|South Indian|south|veg|124|2.4|25.0|1.8|1.2|1.0|0.4|180|grain|dosa|60|mangalore
Uttapam|उत्तपम|South Indian|south|veg|158|4.4|27.0|3.8|1.2|2.2|1.6|280|grain|piece|110|breakfast
Medu Vada|मेदु वड़ा|South Indian|south|veg|282|8.4|26.0|16.4|4.6|3.6|1.0|380|fried|piece|45|fried,tiffin
Upma|उपमा|South Indian|south|veg|142|3.4|22.0|4.4|1.6|1.8|1.2|320|grain|bowl|180|breakfast
Rava Kesari|रवा केसरी|South Indian|south|veg|312|4.2|48.0|11.6|7.2|1.0|28.0|120|sweet|bowl|100|sweet,festival
Poha|पोहा|Maharashtrian|west|veg|138|2.8|24.0|3.6|1.0|1.6|2.2|280|grain|bowl|170|breakfast
Sabudana Khichdi|साबूदाणा खिचडी|Maharashtrian|west|veg|218|3.6|34.0|7.8|1.6|1.6|1.4|300|grain|bowl|180|fasting
Dhokla|ઢોકળા|Gujarati|west|veg|156|5.6|22.0|4.8|1.0|2.6|4.2|340|legume|piece|40|steamed,snack
Khaman|ખમણ|Gujarati|west|veg|168|6.0|22.5|5.6|1.2|2.8|5.4|360|legume|piece|40|steamed,snack
Khandvi|ખાંડવી|Gujarati|west|veg|142|5.2|15.0|6.6|2.0|1.6|2.2|320|legume|piece|25|snack
Handvo|હાંડવો|Gujarati|west|veg|186|6.4|24.0|7.2|1.8|3.4|2.6|340|mixed|piece|60|baked
Muthiya|મુઠિયા|Gujarati|west|veg|172|6.0|25.0|5.4|1.4|4.0|2.4|320|mixed|piece|40|steamed
Appam With Stew|അപ്പം സ്റ്റൂ|South Indian|south|veg|142|3.2|22.0|4.6|3.2|1.4|3.0|260|mixed|plate|220|kerala,breakfast
Puttu|പുട്ട്|South Indian|south|veg|168|3.0|33.0|3.0|2.2|2.4|1.0|120|grain|bowl|150|kerala,breakfast
Kadala Curry|കടല കറി|South Indian|south|veg|138|6.4|17.0|4.8|2.4|5.6|2.4|360|legume|bowl|170|kerala
# ---------------------------------------------------------------- STREET FOOD
Pani Puri|पानी पूरी|Fast Food|pan|veg|186|4.2|30.0|5.6|1.4|3.0|3.4|420|street|piece|18|street,popular
Bhel Puri|भेल पूरी|Maharashtrian|west|veg|228|5.4|38.0|6.4|1.4|3.6|6.0|560|street|plate|100|street,mumbai
Sev Puri|सेव पूरी|Maharashtrian|west|veg|286|6.0|36.0|13.0|3.0|3.4|5.6|600|street|plate|100|street,mumbai
Dahi Puri|दही पूरी|Maharashtrian|west|veg|218|5.8|30.0|8.4|3.0|2.6|6.2|520|street|plate|110|street,mumbai
Pav Bhaji|पाव भाजी|Maharashtrian|west|veg|168|4.0|22.0|7.4|3.6|3.2|3.6|480|street|plate|250|street,mumbai
Vada Pav|वड़ा पाव|Maharashtrian|west|veg|286|6.8|40.0|11.0|3.2|3.0|3.2|560|street|piece|120|street,mumbai
Misal Pav|मिसळ पाव|Maharashtrian|west|veg|176|6.4|24.0|6.2|1.8|4.6|2.8|520|street|plate|280|street,spicy
Dabeli|દાબેલી|Gujarati|west|veg|262|5.4|38.0|9.8|3.2|2.8|6.4|540|street|piece|110|street,kutch
Samosa|समोसा|Fast Food|pan|veg|308|5.0|32.0|18.0|6.0|3.0|1.6|420|fried|piece|60|street,fried
Kachori|कचौड़ी|Rajasthani|north|veg|338|7.4|34.0|19.4|6.6|3.6|1.4|440|fried|piece|60|street,fried
Aloo Tikki|आलू टिक्की|North Indian|north|veg|186|3.0|26.0|8.0|2.0|2.4|1.6|380|street|piece|70|street
Chole Bhature|छोले भटूरे|Punjabi|north|veg|268|7.4|33.0|11.8|4.4|4.2|2.6|500|mixed|plate|300|street,popular
Chaat Papdi|पापड़ी चाट|North Indian|north|veg|242|5.6|31.0|10.6|3.4|2.8|5.4|560|street|plate|120|street
Dahi Bhalla|दही भल्ला|North Indian|north|veg|168|5.4|20.0|7.2|2.4|2.6|5.0|420|street|piece|60|street
Kathi Roll|कठी रोल|Fast Food|east|nonveg|248|11.0|28.0|10.4|3.6|2.0|2.4|520|street|piece|180|kolkata,street
Momos Veg|मोमो|Fast Food|east|veg|168|5.2|28.0|3.8|1.0|1.8|1.6|380|street|piece|25|street,steamed
Momos Chicken|चिकन मोमो|Fast Food|east|nonveg|186|9.6|25.0|5.4|1.6|1.4|1.4|420|street|piece|25|street,steamed
Bread Pakora|ब्रेड पकौड़ा|North Indian|north|veg|294|6.6|32.0|15.4|4.0|2.6|2.2|520|fried|piece|80|street,fried
Onion Pakora|प्याज पकौड़ा|Fast Food|pan|veg|286|7.2|28.0|16.2|3.6|4.0|3.0|480|fried|piece|20|monsoon,fried
Paneer Pakora|पनीर पकौड़ा|North Indian|north|veg|308|11.4|20.0|20.4|7.6|2.6|2.0|460|fried|piece|35|fried
Frankie|फ्रैंकी|Fast Food|west|veg|252|7.0|32.0|10.4|3.4|2.8|3.0|540|street|piece|170|mumbai,street
Egg Roll|एग रोल|Fast Food|east|egg|262|9.8|30.0|11.6|3.8|2.0|2.6|540|street|piece|160|kolkata,street
Idli Fry|इडली फ्राई|South Indian|south|veg|196|4.4|26.0|8.4|3.0|1.6|1.0|420|street|piece|50|street
Masala Papad|मसाला पापड़|North Indian|pan|veg|314|13.0|38.0|12.0|3.0|4.0|3.2|1400|snack|piece|20|starter
Chilli Paneer|चिली पनीर|Fast Food|pan|veg|248|12.0|14.0|16.4|7.0|1.6|4.0|620|street|plate|150|indo-chinese
Gobi Manchurian|गोभी मंचूरियन|Fast Food|pan|veg|198|4.4|23.0|10.2|2.4|3.0|5.4|660|street|plate|150|indo-chinese
Hakka Noodles|हक्का नूडल्स|Fast Food|pan|veg|186|5.0|28.0|6.2|1.4|2.4|2.2|540|street|plate|200|indo-chinese
# ---------------------------------------------------------------- SWEETS
Gulab Jamun|गुलाब जामुन|North Indian|pan|veg|368|4.6|52.0|16.0|8.6|0.4|42.0|110|sweet|piece|40|festival
Rasgulla|রসগোল্লা|Bengali|east|veg|186|4.0|38.0|1.8|1.0|0.1|36.0|60|sweet|piece|45|bengali,festival
Rasmalai|রসমালাই|Bengali|east|veg|264|7.4|30.0|13.0|8.0|0.2|28.0|90|sweet|piece|60|bengali,festival
Sandesh|সন্দেশ|Bengali|east|veg|298|11.0|30.0|15.0|9.4|0.2|27.0|80|sweet|piece|30|bengali
Mysore Pak|ಮೈಸೂರು ಪಾಕ್|South Indian|south|veg|518|6.0|52.0|32.0|20.0|1.8|44.0|60|sweet|piece|25|festival,rich
Jalebi|जलेबी|North Indian|pan|veg|412|2.8|62.0|17.0|8.0|0.4|50.0|80|sweet|piece|25|festival,fried
Laddu Besan|बेसन लड्डू|North Indian|pan|veg|468|8.4|52.0|25.0|13.0|3.4|38.0|70|sweet|piece|35|festival
Motichoor Laddu|मोतीचूर लड्डू|North Indian|north|veg|452|6.0|56.0|23.0|12.0|1.6|42.0|60|sweet|piece|35|festival
Kaju Katli|काजू कतली|North Indian|pan|veg|478|9.0|52.0|26.0|10.0|1.8|44.0|40|sweet|piece|12|festival,cashew
Barfi|बर्फी|North Indian|pan|veg|412|8.0|48.0|21.0|13.0|0.8|42.0|90|sweet|piece|25|festival
