# Ingredient reference table, per 100 g raw/as-purchased edible portion.
# Used by the recipe nutrition calculator (pipeline/recipes.py). Sources: IFCT 2017
# and USDA FoodData Central SR Legacy for shared commodities.
# name|kcal|protein|carbs|fat|satfat|fiber|sugar|sodium|potassium|calcium|iron|water_loss
carrot|41|0.9|9.6|0.2|0.0|2.8|4.7|69|320|33|0.3|0.15
green peas|81|5.4|14.5|0.4|0.1|5.7|5.7|5|244|25|1.5|0.10
okra|33|1.9|7.5|0.2|0.0|3.2|1.5|7|299|82|0.6|0.20
eggplant|25|1.0|5.9|0.2|0.0|3.0|3.5|2|229|9|0.2|0.25
bottle gourd|14|0.6|3.4|0.0|0.0|0.5|0.5|2|150|26|0.2|0.30
bitter gourd|17|1.0|3.7|0.2|0.0|2.8|1.9|5|296|19|0.4|0.25
capsicum|31|1.0|6.0|0.3|0.1|2.1|4.2|4|211|7|0.4|0.20
paneer|296|18.3|3.6|23.0|14.2|0.0|2.6|22|138|480|0.2|0.0
milk|61|3.2|4.8|3.3|1.9|0.0|4.8|43|150|113|0.0|0.0
curd|60|3.1|4.7|3.3|2.1|0.0|4.7|46|155|121|0.1|0.0
cream|340|2.6|3.0|35.0|22.0|0.0|3.0|30|97|65|0.0|0.0
khoya|420|14.0|20.0|31.0|20.0|0.0|20.0|80|300|650|0.3|0.0
ghee|900|0.0|0.0|100.0|62.0|0.0|0.0|2|0|4|0.0|0.0
butter|717|0.9|0.1|81.0|51.0|0.0|0.1|11|24|24|0.0|0.0
mustard oil|884|0.0|0.0|100.0|11.6|0.0|0.0|0|0|0|0.0|0.0
sunflower oil|884|0.0|0.0|100.0|10.3|0.0|0.0|0|0|0|0.0|0.0
coconut oil|862|0.0|0.0|100.0|82.5|0.0|0.0|0|0|1|0.0|0.0
coconut fresh|354|3.3|15.2|33.5|29.7|9.0|6.2|20|356|14|2.4|0.0
coconut milk|230|2.3|5.5|23.8|21.1|2.2|3.3|15|263|16|1.6|0.0
chicken|165|31.0|0.0|3.6|1.0|0.0|0.0|74|256|15|1.0|0.25
mutton|294|25.0|0.0|21.0|9.0|0.0|0.0|72|310|17|1.9|0.25
fish rohu|97|16.6|0.0|1.4|0.4|0.0|0.0|54|280|650|1.0|0.20
prawn|99|24.0|0.2|0.3|0.1|0.0|0.0|111|259|70|0.5|0.20
egg|155|12.6|1.1|10.6|3.3|0.0|1.1|124|126|50|1.8|0.0
sugar|387|0.0|100.0|0.0|0.0|0.0|100.0|1|2|1|0.0|0.0
jaggery|383|0.4|98.0|0.1|0.0|0.0|85.0|30|1050|80|11.0|0.0
salt|0|0.0|0.0|0.0|0.0|0.0|0.0|38758|8|24|0.3|0.0
turmeric|354|7.8|64.9|9.9|3.1|21.1|3.2|38|2525|183|41.4|0.0
red chili powder|282|13.5|49.7|14.3|2.5|34.8|7.2|30|2014|330|7.8|0.0
coriander powder|298|12.4|55.0|17.8|1.0|41.9|0.0|35|1267|709|16.3|0.0
cumin seed|375|17.8|44.2|22.3|1.5|10.5|2.3|168|1788|931|66.4|0.0
garam masala|379|14.0|45.0|15.0|3.0|25.0|3.0|60|1300|500|20.0|0.0
mustard seed|508|26.1|28.1|36.2|2.0|12.2|6.8|13|738|266|9.2|0.0
tamarind|239|2.8|62.5|0.6|0.3|5.1|38.8|28|628|74|2.8|0.0
cashew|553|18.2|30.2|43.9|7.8|3.3|5.9|12|660|37|6.7|0.0
almond|579|21.2|21.6|49.9|3.8|12.5|4.4|1|733|269|3.7|0.0
raisin|299|3.1|79.2|0.5|0.1|3.7|59.2|11|749|50|1.9|0.0
sesame seed|573|17.7|23.4|49.7|7.0|11.8|0.3|11|468|975|14.6|0.0
peanut|567|25.8|16.1|49.2|6.3|8.5|4.7|18|705|92|4.6|0.0
yeast|325|40.4|41.2|7.6|1.0|26.9|0.0|51|955|30|2.2|0.0
baking soda|0|0.0|0.0|0.0|0.0|0.0|0.0|27360|0|0|0.0|0.0
water|0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0.0|0.0
lemon juice|22|0.4|6.9|0.2|0.0|0.3|2.5|1|103|6|0.1|0.0
mint leaves|70|3.8|14.9|0.9|0.2|8.0|0.0|31|569|243|5.1|0.50
yogurt low fat|63|5.3|7.0|1.6|1.0|0.0|7.0|70|234|183|0.1|0.0
bread|265|9.0|49.0|3.2|0.7|2.7|5.0|491|115|260|3.6|0.0
pav bun|280|8.5|52.0|3.5|1.0|2.2|6.0|500|120|80|2.8|0.0
semiya vermicelli|352|12.0|71.0|1.5|0.3|3.0|1.5|10|180|25|2.5|0.0
sabudana|351|0.2|87.0|0.0|0.0|0.9|3.4|1|11|20|1.6|0.0
oats|389|16.9|66.3|6.9|1.2|10.6|0.0|2|429|54|4.7|0.0
ragi flour|328|7.3|72.0|1.3|0.3|11.5|0.5|11|408|344|3.9|0.0
bajra flour|361|11.6|67.5|5.0|0.9|11.3|1.0|12|365|42|8.0|0.0
jowar flour|349|10.4|72.6|1.9|0.3|9.7|0.9|7|350|25|4.1|0.0
maize flour|365|9.4|74.3|3.6|0.5|7.3|0.6|35|287|7|2.7|0.0
